"fid4","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"264",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"265",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1627",0.196185528294392,0.00231499204343818,0.0635840753048659,0.182483412394126,0.584420297273731,0.42883917922928,0.158175884198482,0.0803783914182728,0.139601269197322,0.0463188521772275,0.100092024406064,8.22833629492736,1.49013081331167,0.205748123100593
"1628",0.03770497940764,0.0317680281664109,0.753079472423927,1.78990122726671,3.08174980342012,3.98314657718107,1.01366877177814,0.746571046125987,1.31815763342618,0.444354187172222,0.966182896754455,30.9660593874454,14.3841521269233,1.98607550160689
"1629",0.0619691758410907,0.000674662341179434,0.0164607462648566,0.0609970024133155,0.314291683983214,0.137254047601569,0.0995640710270229,0.0257258667029644,0.0452718052956234,0.015209494923145,0.0330383647279643,5.02727908363805,0.491862219739322,0.0679133185029242
"1630",0.00815255486433225,0.0106329895095095,0.301040698199096,0.831062851613945,1.01167680891146,1.97401571884717,0.248215628415065,0.369994664201352,0.640494802049685,0.211903589669163,0.457173675759856,6.06608387088992,6.80622242708328,0.939761447295602
"1631",0.36218229641716,0.000347523645914121,0.00954516009446279,0.0654599045113546,0.525934961117286,0.15383190918442,0.151024283362129,0.0288330964331845,0.0500773502173655,0.0166153602720246,0.0359047119626311,8.9612199164369,0.534535273475349,0.0738053520309376
"1632",1.46065955529499,0.0119323207593455,0.260000170761567,0.65779076677738,1.99228804955704,1.41475823711067,0.838760069859487,0.265171646744311,0.472926267842402,0.161177898918043,0.351197084165333,27.8469399857968,5.22848448480645,0.721917069159014
"1633",0.379165198275802,0.00295068217919287,0.0679848863625989,0.236001132795743,0.96776685149904,0.519322696033416,0.349621360394249,0.0973379414847003,0.172434947235314,0.0583330822254406,0.126943988661718,14.7660320295181,1.88989232850457,0.260944741212258
"1634",1.11893808980107,0.00229179296445153,0.0485908499794942,0.0864131715146516,0.788560563143456,0.18370186034355,0.383701491549287,0.0344316954936253,0.0616171785323891,0.0210820349022388,0.045955186266386,13.6737983171073,0.684162794122388,0.0944650023531168
"1635",0.357198079773347,0.00128740146746827,0.0353600488982776,0.133804050745768,0.57552064437528,0.314441836365042,0.163975185029117,0.0589366135973243,0.102361168408605,0.0339628131998203,0.0733914284984446,8.82635247535453,1.09262281073283,0.150862656188933
